﻿назва,сектор,тип_бізнесу,зона,телефон,вебсайт,рейтинг,кількість_відгуків,має_сайт,має_чатбота,має_інстаграм,має_фейсбук,цифровий_стан,рівень_послуги,ціна,рекомендований_продукт,основні_потреби
Casa Blanca del Mediterráneo Promotora Constructora SL,Будівництво,Будівельна компанія,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Базовий лендінг + Google Business,Цифрова присутність відсутня
Grupo Alvarez Construcciones,Будівництво,Будівельна компанія,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Базовий лендінг + Google Business,Цифрова присутність відсутня
Orihuela Costa Real Estates 2019,Будівництво,Будівельна компанія,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Базовий лендінг + Google Business,Немає власного сайту  ·  Немає маркетингу новобудов у соціальних мережах  ·  Згадуєтся лише в місцевій пресі (Alicante Plaza 2019)
Sonatabuildtech,Будівництво,Будівельна компанія,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Базовий лендінг + Google Business,Цифрова присутність відсутня
Absolute Construction (Obras y Servicios Absolute S.L.),Будівництво,Будівельна компанія,Orihuela Costa,,https://absoluteconstruction.es,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Construcciones Galysan S.L.,Будівництво,Будівельна компанія,Orihuela,,https://www.construccionesgalysan.es,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Оновлення сайту + збір лідів,
Doalco S.A.,Будівництво,Будівельна компанія,Orihuela,+34 965 306 658,https://www.doalco.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії для міжнародних покупців  ·  Немає навчального контенту про процес покупки  ·  Немає маркетингу новобудов у соціальних мережах
Hurpomar S.L.,Будівництво,Будівельна компанія,,,https://hurpomar.com,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Оновлення сайту + збір лідів,
JAZIEL CONSTRUCCIONES S.L,Будівництво,Будівельна компанія,Torrevieja,,https://jazielconstrucciones.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
NK Construcciones,Будівництво,Будівельна компанія,,,https://reformasentorrevieja.com,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Оновлення сайту + збір лідів,
Obras y Promociones Sol y Costa,Будівництво,Будівельна компанія,,,https://www.obrasypromosolycosta.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії для міжнародних покупців  ·  Немає маркетингу новобудов у соціальних мережах
Reformas Orihuela Costa,Будівництво,Будівельна компанія,Orihuela Costa,779 392 817,https://reformasorihuelacosta.com,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Оновлення сайту + збір лідів,Orihuela Costa  ·  15+ років досвіду в будівництві та ремонтах. Вебсайт з основною інформацією без блогу та активних соціальних мереж. Туристична зона з високим
Reformas Vega Baja,Будівництво,Будівельна компанія,Orihuela Costa,603 125 801,https://reformasvegabaja.com,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Оновлення сайту + збір лідів,
Zaragoza 2012 Grupo Constructor,Будівництво,Будівельна компанія,,+34 641 319 500,https://zaragoza2012.es/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії для міжнародних покупців  · Немає Instagram й навчального контенту про процес покупки
Cafeteria Concierto,Готельно-ресторанний бізнес,Паб-ресторан,Інша,657 37 37 36,,4.5,1498,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Paddy's Point Irish Bar & Restaurant,Готельно-ресторанний бізнес,Ірландський паб,La Zenia,966 73 05 27,https://www.facebook.com/paddys.point.5,4.6,3787,No,No,No,Sí,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Залежність від телефону
The Bridge,Готельно-ресторанний бізнес,Паб,Інша,663 64 58 99,,4.2,1751,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Restaurante Las Villas,Готельно-ресторанний бізнес,Ресторан,Інша,965 32 00 05,,4.2,1107,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Bar Juani,Готельно-ресторанний бізнес,Бар-ресторан,Інша,744 61 57 76,,4.6,503,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
The Lucky Lion,Готельно-ресторанний бізнес,Ірландський паб,Інша,865 94 31 00,,4.5,550,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
RESTAURANTE DA MARIO,Готельно-ресторанний бізнес,Сімейний ресторан,Playa Flamenca,966 39 25 99,https://www.facebook.com/1829711710689292/,4.5,1029,No,No,No,Sí,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Залежність від телефону
La Terracica,Готельно-ресторанний бізнес,Ресторан,Інша,965 06 30 69,,4.6,964,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Bar El estanco,Готельно-ресторанний бізнес,Ресторан,Інша,630 70 20 96,,4.4,686,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
